idx_tratado;idx_bruto;endereco_tratado;endereco_bruto;endereco_tratado_normalizado;endereco_bruto_normalizado;sugestoes_top5_similares;similaridade;lat_tratado;long_tratado;lat_bruto;long_bruto;distancia_metros;cep_tratado;cep_bruto;cep_igual;setor_tratado;setor_bruto;setor_igual;pontuacao_total;nivel_confianca
0;39597;av antonio piranga 614 centro;avenida  antonio piranga 61 centro;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;;98,50746268656717;-23.686369;-46.597689;-23.686363;-46.623730;2651,7045510760163;09911160;09911160;True;351380105000538;351380105000531;False;39,55223880597015;Baixa
1;50282;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;;100,0;-23.686098;-46.603650;-23.686248;-46.618424;1504,5373679307743;09911160;09911160;True;351380105000538;351380105000538;True;90,0;Alta
2;39597;av antonio piranga 614 centro;avenida  antonio piranga 61 centro;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;;98,50746268656717;-23.686369;-46.612366;-23.686363;-46.623730;1157,1596221586467;09911160;09911160;True;351380105000538;351380105000531;False;39,55223880597015;Baixa
3;3541;rua dos cariris 195 piraporinha;rua  dos cariris 195 piraporinha;rua dos cariris 195 piraporinha;rua  dos cariris 195 piraporinha;;100,0;-23.689318;-46.623000;-23.689450;-46.584908;3878,7576337279165;09951420;09951420;True;351380105000161;351380105000161;True;90,0;Alta
4;70850;rua moaciar goulart cunha caldas 111 centro;rua  moacyr goulart cunha caldas 111 conceicao;rua moaciar goulart cunha caldas 111 centro;rua  moacyr goulart cunha caldas 111 conceicao;;86,36363636363636;-23.690741;-46.625979;-23.690625;-46.616203;995,4873910485641;09911450;09911450;True;351380105000461;351380105000461;True;85,9090909090909;Alta
5;160130;praca rui barbosa 27 piraporinha;praca  rui barbosa 27 piraporinha;praca rui barbosa 27 piraporinha;praca  rui barbosa 27 piraporinha;;100,0;-23.691040;-46.583043;-23.690702;-46.583124;38,46811709011387;09951530;09951540;False;351380105000161;351380105000161;True;89,23063765819772;Alta
6;43091;av nossa senhora dos navegantes 288 eldorado;avenida nossa senhora dos navegantes 289 eldorado;avenida nossa senhora dos navegantes 288 eldorado;avenida nossa senhora dos navegantes 289 eldorado;;97,95918367346938;-23.717483;-46.624054;-23.717613;-46.623849;25,37540811636155;09972260;09972260;True;351380105000987;351380105000636;False;48,88024693971359;Media
7;115200;rua capibaribe 193 jardim campanario;rua  capibaribe 193 campanario;rua capibaribe 193 jardim campanario;rua  capibaribe 193 campanario;;100,0;-23.670447;-46.623000;-23.670499;-46.619981;307,50949017263133;09930530;09930530;True;351380105000043;351380105000045;False;43,849810196547374;Media
8;30100;av piraporinha 1682 piraporinha;avenida  piraporinha 1682 piraporinha;avenida piraporinha 1682 piraporinha;avenida  piraporinha 1682 piraporinha;;100,0;-23.691897;-46.587164;-23.691713;-46.587132;20,717934567412666;09950000;09950000;True;351380105000162;351380105000162;True;99,58564130865174;Alta
9;74232;rua jose bonifacio 1641 serraria;rua  jose bonifacio 1641 serraria;rua jose bonifacio 1641 serraria;rua  jose bonifacio 1641 serraria;;100,0;-23.706553;-46.623000;-23.706971;-46.609694;1355,5043816570976;09980150;09980150;True;351380105000646;351380105000646;True;90,0;Alta
10;39595;rua tiradentes 100 centro;rua  tiradentes 100 centro;rua tiradentes 100 centro;rua  tiradentes 100 centro;;100,0;-23.686167;-46.616583;-23.686536;-46.616541;41,25816697398955;09911160;09911190;False;351380105000538;351380105000538;True;89,17483666052021;Alta
11;172305;rua mem de sa 280 jardim casa grande;rua  mem de sa 280 casa grande;rua mem de sa 280 jardim casa grande;rua  mem de sa 280 casa grande;;100,0;-23.699334;-46.591767;-23.699546;-46.591777;23,59593079535897;09961170;09961158;False;351380105000220;351380105000220;True;89,52808138409281;Alta
12;89141;avn sao jose 472 centro;avenida sao jose 472 centro;avenida sao jose 472 centro;avenida sao jose 472 centro;;100,0;-23.689086;-46.623000;-23.689076;-46.628291;538,7601356809207;09910380;09910380;True;351380105000998;351380105000880;False;40,0;Baixa
13;69982;rua serra de maracuja 49 parque reid;rua  serra de maracuja 49 centro;rua serra de maracuja 49 parque reid;rua  serra de maracuja 49 centro;;87,27272727272728;-23.676691;-46.623000;-23.676620;-46.626252;331,2622804379809;09920040;09920040;True;351380105000953;351380105000725;False;39,55657257305857;Media
14;162137;rua barao de iguape 98 vil sao jose;rua  iguape 98 taboao;rua barao de iguape 98 vil sao jose;rua  iguape 98 taboao;"rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua  iguape 98 taboao (79); rua barao de iguape 98 piraporinha (79)";78,78787878787878;-23.677685;-46.584901;-23.664945;-46.614370;3318,6893163969935;09950430;09932180;False;351380105000390;351380105000098;False;23,636363636363633;Incerto
15;27959;rua sebastiao fernandes tourinho 285 vil nogueira;rua  sebastiao fernandes tourinho 285 vila nogueira;rua sebastiao fernandes tourinho 285 vil nogueira;rua  sebastiao fernandes tourinho 285 vila nogueira;;98,98989898989899;-23.688413;-46.595485;-23.688354;-46.595600;13,395887138726726;09951040;09951040;True;351380105000394;351380105000394;True;99,42905195419516;Alta
16;165970;rua das ameixeiras 679 jd abc;rua  das ameixeiras 979 taboao;rua das ameixeiras 679 jardim abc;rua  das ameixeiras 979 taboao;"rua  das ameixeiras 979 taboao (81); rua  das ameixeiras 967 taboao (81); rua  das ameixeiras 1169 taboao (79); rua  das ameixeiras 941 taboao (77); rua  das ameixeiras 955 taboao (77)";80,64516129032258;-23.665401;-46.623000;-23.664706;-46.599807;2363,338166435965;09940400;09940400;True;351380105000101;351380105000102;False;34,19354838709677;Baixa
17;43122;rua 22 de abril 113 jd canhema;rua  sete de abril 64 canhema;rua 22 de abril 113 jardim canhema;rua  sete de abril 64 canhema;"rua  sete de abril 64 canhema (83); rua  sete de abril 84 canhema (83); rua  sete de abril 84 canhema (83); rua  sete de abril 98 canhema (83); rua  sete de abril 80 canhema (83)";83,33333333333333;-23.678010;-46.623000;-23.681764;-46.608505;1533,9533490304666;09941460;09941560;False;351380105000381;351380105000840;False;24,999999999999996;Incerto
18;99539;rua jose vicente 122 jd inamar;rua  jose vicente 122 inamar;rua jose vicente 122 jardim inamar;rua  jose vicente 122 inamar;;100,0;-23.717048;-46.613337;-23.717143;-46.613307;10,987551750560419;09973020;09973020;True;351380105000283;351380105000283;True;99,7802489649888;Alta
19;21410;rua javari 635 jd paineiras;rua  javari 635 taboao;rua javari 635 jardim paineiras;rua  javari 635 taboao;"rua  javari 635 taboao (80); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69)";80,0;-23.664817;-46.616060;-23.664585;-46.617682;167,19404289428078;09932210;09932210;True;351380105000374;351380105000374;True;90,65611914211439;Alta
20;98493;av eldorado 817 jardim ruyce;avenida  eldorado 817 jardim ruyce;avenida eldorado 817 jardim ruyce;avenida  eldorado 817 jardim ruyce;;100,0;-23.710703;-46.606319;-23.710919;-46.600193;624,1926500460406;09961470;09961540;False;351380105000846;351380105000846;True;80,0;Alta
21;168293;rua odete amaral de oliveira 129 prq real;rua  odete amaral de oliveira 129 conceicao;rua odete amaral de oliveira 129 prq real;rua  odete amaral de oliveira 129 conceicao;;87,67123287671232;-23.693584;-46.623000;-23.693253;-46.623149;39,809808599774215;09990155;09990155;True;351380105000675;351380105000675;True;95,50517369101821;Alta
22;139970;rua prudente de morais 300 jardim casa grande;rua  prudente de morais 300 casa grande;rua prudente de morais 300 jardim casa grande;rua  prudente de morais 300 casa grande;;100,0;-23.695878;-46.623000;-23.695952;-46.599154;2428,018935096268;09960500;09960500;True;351380105000237;351380105000237;True;90,0;Alta
